exclusion_id,analysis_profile,granularity,token_id,locus_id,source_reference,reason_code,resolution_status,related_passage_ids_json,source_id,source_version
X_CLAUSE_cc7fd4f528f65800bb3482dafae05824fb3a8c8718bc17e28e33e6b9158b565e,edition_complete,clause,HB_DAN_005_016_0022~944405c7caf4,KQL_DAN_005_016_0022,DAN 5:16,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_2ef374a8f17385b88d433f339336a334e08b20c7fda3154042fc3d826e2ac322,edition_complete,clause,HB_DAN_005_022_0001~77fc32a5494f,KQL_DAN_005_022_0001,DAN 5:22,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_ee8a953efeeae7615bf8dc1d8141af0d6ce79917d462fc6596b8527e79dcc0bc,edition_complete,clause,HB_DAN_005_023_0011~08c6a811785f,KQL_DAN_005_023_0011,DAN 5:23,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_c811dbacc02b2bf8effc3f4a967997ecde7808d5f5d4196736795b0fde0db1ee,edition_complete,clause,HB_DAN_005_029_0007~12224dcca3b0,KQL_DAN_005_029_0007,DAN 5:29,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_a2a0659f3bc723aaf169d4830a7ef5c184b4f37d6e8f720f25121675fc8d0b08,edition_complete,clause,HB_DAN_005_007_0025~092908ff61da,KQL_DAN_005_007_0025,DAN 5:7,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_be768b28f5eafb8524809c643f2e19e8eb016df63f2a7812911b4bf0bb93ced6,edition_complete,clause,HB_DAN_005_008_0011~91fbcc9d62ac,KQL_DAN_005_008_0011,DAN 5:8,ketiv_clause_mapping_unresolved,unresolved,"[""P_HB_EDITION_COMPLETE_KETIV_CLAUSE_DAN_005_008~cdc1a2f8d851a678c847ee400b33bae0ad7088f1991da74f9e6bad7ff5381c81""]",oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_5c6e33dbc9111df6e717d2c6242959957d0c1e64ede84f4e7c9af0d2e3493470,edition_complete,clause,HB_DAN_007_020_0009~b0c27a79f479,KQL_DAN_007_020_0009,DAN 7:20,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_95054c0509ea8bd2fdf046f14bf975d1a9a776c113643343e724aaea95226bf5,edition_complete,clause,HB_DAN_009_024_0011~aaae6be46c63,KQL_DAN_009_024_0011,DAN 9:24,ketiv_clause_mapping_unresolved,unresolved,"[""P_HB_EDITION_COMPLETE_KETIV_CLAUSE_DAN_009_024~8ce51d7ad336d77d150cb6f18f5c1e38d6f54c164371c9af80f067d13d6a9e32""]",oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_a0a41277707df8c1ebabda8f31133613b8aaa8a1133e874a3099d97877b503f0,edition_complete,clause,HB_DEUT_022_026_0001~c9fe6d70e048,KQL_DEU_022_026_0001,DEU 22:26,ketiv_clause_mapping_unresolved,unresolved,[],oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
X_CLAUSE_b3732adf6d001a97374422238b51bb59f1caba8d7a4561794bc3c7f9426cbfd2,edition_complete,clause,HB_ECCL_010_003_0003~64934ef54e61,KQL_ECC_010_003_0003,ECC 10:3,ketiv_clause_mapping_unresolved,unresolved,"[""P_HB_EDITION_COMPLETE_KETIV_CLAUSE_ECC_010_003~346c14d51ddd95093bb4bc0daef5e7e8ca7d369410ec22b732cd6ebd2a60c916""]",oshb-morphhb,3d15126fb1ef74867fc1434be1942e837932691f
