book,source_reference,analysis_profile,mapping_status,mapping_confidence,reference_gap,disputed_passage,risk_type,endpoint_count,sample_ordinal
1PE,1Pet.1.1-1Pet.1.2,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,5,2
1PE,1Pet.1.10,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,29,3
1PE,1Pet.1.1,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,51,1
1PE,1Pet.1.1-1Pet.1.2,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,5,2
1PE,1Pet.1.10,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,29,3
1SA,1Sam.23.28-1Sam.23.29,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,1,1
1SA,1Sam.23.29-1Sam.24.1,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,1,2
1SA,1Sam.1.1,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,26,1
1SA,1Sam.1.1-1Sam.1.28,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1,2
1SA,1Sam.1.10,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,27,3
1SA,1Sam.23.29,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,12,1
1SA,1Sam.23.28-1Sam.23.29,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,1,1
1SA,1Sam.23.29-1Sam.24.1,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,1,2
1SA,1Sam.1.1,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,26,1
1SA,1Sam.1.1-1Sam.1.28,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1,2
1SA,1Sam.1.10,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,27,3
1SA,1Sam.23.29,edition_complete,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,12,1
1TH,1Thess.1.1,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,46,1
1TH,1Thess.1.1-1Thess.1.10,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1,2
1TH,1Thess.1.10,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,79,3
1TH,1Thess.1.1,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,46,1
1TH,1Thess.1.1-1Thess.1.10,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1,2
1TH,1Thess.1.10,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,79,3
1TI,1Tim.1.1,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,58,1
1TI,1Tim.1.1-1Tim.1.2,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1,2
1TI,1Tim.1.10,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,61,3
1TI,1Tim.1.1,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,58,1
1TI,1Tim.1.1-1Tim.1.2,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1,2
1TI,1Tim.1.10,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,61,3
2CH,2Chr.14.1-2Chr.14.15,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,2,1
2CH,2Chr.14.12-2Chr.14.15,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,1,2
2CH,2Chr.14.13-2Chr.14.15,critical_core,mapped_partial,partial_provisional,False,False,mapped_partial,3,3
2CH,2Chr.1.1,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,21,1
2CH,2Chr.1.1-2Chr.1.12,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,1,2
2CH,2Chr.1.10,critical_core,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,21,3
2CH,2Chr.14.15,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,5,1
2CH,2Chr.2.18,critical_core,unresolved_missing_target,unresolved,False,False,unresolved_missing_target,6,2
2CH,2Chr.14.1-2Chr.14.15,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,2,1
2CH,2Chr.14.12-2Chr.14.15,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,1,2
2CH,2Chr.14.13-2Chr.14.15,edition_complete,mapped_partial,partial_provisional,False,False,mapped_partial,3,3
2CH,2Chr.1.1,edition_complete,mapped_provisional,provisional_mechanical,False,False,provisional_same_label,21,1
